ip,https_token,prefix_suffix,shortening_service,domain_in_brand,suspicious_tld,statistical_report,length_url,length_hostname,nb_dots,nb_hyphens,nb_qm,nb_and,nb_eq,nb_underscore,nb_slash,nb_www,nb_com,ratio_digits_url,ratio_digits_host,nb_subdomains,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,status
0,1,1,0,0,0,0,77,18,2,2,0,0,0,0,8,1,0,0.0,0.0,2,1,9,3,2,3,2,10,10,9,6.333333333,6.5,6.285714286,5,phishing
0,1,0,1,0,0,0,112,31,2,10,0,0,0,0,4,0,1,0.0,0.0,2,1,14,0,2,10,2,16,16,11,6.285714286,13.0,5.166666667,0,legitimate
1,1,1,0,0,0,0,102,15,1,1,0,0,0,0,9,0,0,0.196078431,0.0,1,1,9,8,2,11,2,32,11,32,9.222222222,11.0,9.0,3,phishing
0,0,0,0,0,0,0,84,28,3,0,0,0,0,0,7,0,0,0.047619048,0.0,3,1,7,3,5,5,6,15,15,14,9.0,10.0,8.6,1,phishing
0,0,0,0,0,0,0,48,39,2,2,0,0,0,0,3,0,0,0.083333333,0.102564103,2,0,4,0,6,6,0,11,11,0,8.0,8.0,0.0,0,phishing
0,1,0,0,0,0,2,155,22,3,2,0,0,0,0,9,1,0,0.0,0.0,3,2,12,3,2,3,2,28,15,28,11.16666667,9.0,11.6,1,legitimate
1,1,1,0,0,0,0,93,20,4,1,1,0,1,0,5,0,0,0.129032258,0.0,3,2,9,3,2,14,2,17,14,17,8.0,14.0,7.25,2,phishing
0,1,1,0,0,0,0,63,18,2,3,0,0,0,0,7,1,0,0.079365079,0.0,2,1,9,5,1,3,1,10,10,10,4.777777778,6.5,4.285714286,0,legitimate
0,1,0,0,0,0,0,52,35,3,0,0,0,0,0,3,0,0,0.0,0.0,3,1,4,1,3,6,3,24,24,5,9.5,15.0,4.0,1,phishing
0,1,0,0,0,0,0,30,22,2,0,0,0,0,0,3,0,0,0.133333333,0.181818182,2,1,2,2,4,4,0,13,13,0,8.5,8.5,0.0,0,phishing
0,0,0,0,0,0,0,35,26,3,0,0,0,0,0,3,1,0,0.0,0.0,3,0,2,4,3,3,0,16,16,0,9.5,9.5,0.0,0,legitimate
0,1,0,0,0,0,1,51,44,5,1,0,0,0,0,2,1,1,0.0,0.0,3,0,6,3,2,2,0,10,10,0,5.833333333,5.833333333,0.0,0,phishing
0,1,0,0,0,0,0,25,17,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,9,9,0,6.0,6.0,0.0,0,legitimate
0,1,0,1,0,0,0,32,24,4,0,0,0,0,0,3,0,0,0.09375,0.125,3,0,4,1,1,1,0,7,7,0,4.25,4.25,0.0,0,phishing
0,1,1,1,0,0,0,103,24,2,1,0,0,0,0,5,0,1,0.116504854,0.0,2,0,11,4,2,9,2,11,10,11,7.363636364,9.5,6.888888889,0,legitimate
0,0,0,1,1,0,0,37,28,2,0,0,0,0,0,3,0,0,0.108108108,0.142857143,2,0,2,0,8,8,0,15,15,0,11.5,11.5,0.0,0,phishing
0,1,0,0,0,0,0,45,24,2,0,0,0,0,0,4,1,0,0.0,0.0,2,0,3,3,3,3,12,16,16,12,10.33333333,9.5,12.0,0,legitimate
0,0,0,0,0,0,0,28,19,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,legitimate
0,1,1,0,0,0,0,91,36,2,1,0,0,0,3,4,0,0,0.087912088,0.0,2,1,8,3,6,7,6,15,15,13,9.125,10.0,8.6,0,phishing
0,1,0,0,0,0,0,38,11,2,0,0,0,0,0,5,0,0,0.026315789,0.090909091,2,0,5,0,3,7,3,7,7,6,4.6,7.0,4.0,1,phishing
0,1,0,0,0,0,0,28,20,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,12,12,0,7.5,7.5,0.0,0,legitimate
0,1,0,0,0,0,0,35,16,2,0,0,0,0,0,3,0,0,0.0,0.0,2,0,3,0,3,3,11,11,9,11,7.666666667,6.0,11.0,0,phishing
1,0,0,1,0,0,0,75,66,4,2,0,0,0,0,3,0,0,0.546666667,0.621212121,3,0,6,2,1,1,0,36,36,0,9.5,9.5,0.0,0,phishing
1,0,1,0,0,0,0,127,50,4,1,1,2,3,2,4,0,1,0.196850394,0.0,3,1,13,6,2,3,2,17,13,17,7.769230769,8.4,7.375,0,phishing
