ip,https_token,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,prefix_suffix,shortening_service,domain_in_brand,brand_in_subdomain,brand_in_path,suspicious_tld,statistical_report,length_url,nb_dots,nb_hyphens,nb_qm,nb_and,nb_eq,nb_www,ratio_digits_url,char_repeat,shortest_word_host,longest_words_raw,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,status
0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,1,0.0,4,3,11,6,5.75,7.0,4.5,0,legitimate
1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0,0,0,0,0,0.220779221,4,19,32,32,15.75,19.0,14.66666667,0,phishing
1,0,0,0,0,1,0,1,0,0,0,0,0,0,126,4,1,1,2,3,0,0.150793651,2,3,17,17,8.25,8.4,8.142857143,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0.0,0,5,5,0,5.0,5.0,0.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,2,2,0,0,0,1,0.0,3,3,11,11,6.333333333,5.0,7.0,0,legitimate
0,1,0,0,0,0,0,1,0,0,0,0,0,0,32,3,1,0,0,0,0,0.0,3,3,7,0,4.5,4.5,0.0,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,1,0.0,3,3,5,0,4.0,4.0,0.0,0,legitimate
1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,2,0,0,0,0,1,0.259259259,8,3,32,32,13.2,11.0,14.66666667,0,phishing
0,1,0,0,0,0,0,0,1,1,0,0,0,0,42,2,0,0,0,0,0,0.0,0,8,21,0,14.5,14.5,0.0,0,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1,10,0,0,0,0,0.076923077,0,6,10,10,5.571428571,6.0,5.538461538,1,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,0,1,0.0,3,3,15,7,6.666666667,9.0,5.5,0,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,3,0,0,0,1,0.186046512,3,3,8,6,4.333333333,5.5,3.75,0,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,9,0,0,0,0,0.012048193,2,10,10,10,5.454545455,10.0,5.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0.064516129,1,4,8,8,5.333333333,4.0,6.0,0,phishing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0.0,4,3,8,0,5.5,5.5,0.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,1,0,1,0,0.019607843,1,4,12,7,6.6,8.0,5.666666667,0,phishing
0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,2,0,0,0,0,1,0.0,3,3,14,0,8.5,8.5,0.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0.06,0,4,12,8,7.0,8.0,6.333333333,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,1,0.0,3,3,15,2,6.666666667,9.0,2.0,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,1,0.148148148,3,3,11,0,7.0,7.0,0.0,0,legitimate
0,1,0,0,0,0,0,1,0,0,0,0,0,0,63,3,2,0,0,0,1,0.0,3,3,8,8,5.25,3.5,5.833333333,0,legitimate
0,0,0,0,0,0,0,0,1,0,0,0,0,0,66,2,4,0,0,0,0,0.0,0,4,9,9,5.875,5.5,6.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0.1,0,7,7,7,5.0,7.0,4.5,0,phishing
0,1,0,0,0,0,0,1,0,0,0,0,0,0,48,1,3,0,0,0,0,0.0,0,5,9,9,5.333333333,5.5,5.25,0,legitimate
1,1,0,0,0,1,0,1,0,0,0,0,0,0,126,4,1,1,2,3,0,0.095238095,7,3,17,17,7.769230769,8.4,7.375,0,phishing
0,0,0,0,0,0,0,0,1,1,0,0,0,0,41,2,0,0,0,0,0,0.0,0,8,19,0,13.5,13.5,0.0,0,phishing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,1,0.0,3,3,19,0,11.0,11.0,0.0,0,legitimate
0,1,0,0,1,0,0,0,0,0,0,0,0,0,72,2,7,0,0,0,1,0.0,5,3,8,8,4.545454545,4.25,4.714285714,0,legitimate
1,1,0,0,0,1,0,0,0,0,0,0,0,0,68,4,0,0,0,0,0,0.161764706,3,3,15,15,8.666666667,8.75,8.5,0,phishing
1,1,0,0,1,0,0,0,0,0,0,0,1,0,163,4,9,0,2,1,1,0.398773006,14,3,18,18,8.0,5.0,8.4,1,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,1,0.0,3,3,10,0,6.5,6.5,0.0,0,legitimate
1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0.34375,3,3,32,32,12.5,6.0,19.0,0,phishing
1,1,0,0,0,0,0,0,1,0,0,0,0,0,36,4,0,0,0,0,0,0.25,1,1,11,0,5.25,5.25,0.0,0,phishing
0,1,0,0,1,0,0,0,1,0,0,0,0,0,61,2,0,0,0,0,0,0.0,1,10,10,10,6.285714286,10.0,5.666666667,0,phishing
1,0,0,0,0,0,0,0,0,1,0,0,0,0,66,2,0,1,0,1,0,0.212121212,3,5,21,21,8.166666667,6.0,9.25,0,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,1,0.0,3,3,19,0,11.0,11.0,0.0,0,legitimate
0,1,0,0,1,0,0,0,0,0,0,1,0,0,113,5,0,0,0,1,1,0.0,4,20,20,10,5.4375,20.0,4.466666667,0,phishing
0,1,0,0,0,0,0,0,0,1,0,0,0,0,41,2,4,0,0,0,0,0.0,3,2,6,0,4.166666667,4.166666667,0.0,0,legitimate
0,1,0,0,0,0,0,1,0,0,0,0,0,0,23,2,1,0,0,0,1,0.0,3,1,3,3,2.5,2.333333333,3.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,2,1,0,0,0,0,0.0,2,5,7,0,6.0,6.0,0.0,1,legitimate
0,1,0,0,0,0,0,1,0,0,0,0,0,0,84,2,2,0,0,0,0,0.0,0,26,26,9,7.222222222,26.0,4.875,4,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0.0,0,4,8,4,5.333333333,6.0,4.0,0,phishing
1,1,0,0,0,0,0,1,0,0,0,0,0,0,98,2,2,0,0,0,1,0.295918367,4,3,32,32,7.8,7.0,8.142857143,2,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0.0,1,5,5,0,5.0,5.0,0.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,2,0,0,0,0,0,0.0,3,4,13,9,5.875,8.5,5.0,0,legitimate
0,0,0,0,0,0,0,1,1,0,0,0,0,0,131,2,1,1,0,1,0,0.030534351,6,2,40,40,7.428571429,7.0,7.545454545,0,phishing
0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,2,1,0,0,0,1,0.0,4,3,10,10,6.8,5.666666667,8.5,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0.0,1,13,14,10,12.33333333,13.5,10.0,0,phishing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0,1,0.133333333,4,3,9,9,4.666666667,3.0,5.5,0,legitimate
1,1,0,0,0,0,0,0,0,0,0,0,0,0,159,2,0,1,1,2,0,0.270440252,4,10,40,40,11.41666667,10.0,11.54545455,0,phishing
