ip,https_token,tld_in_path,abnormal_subdomain,prefix_suffix,shortening_service,suspicious_tld,statistical_report,length_url,length_hostname,nb_dots,nb_hyphens,nb_qm,nb_percent,nb_slash,nb_www,http_in_path,ratio_digits_url,ratio_digits_host,char_repeat,avg_words_raw,avg_word_host,avg_word_path,phish_hints,status
0,1,0,0,0,0,0,0,37,19,3,0,0,0,3,1,0,0.0,0.0,4,5.75,7.0,4.5,0,legitimate
1,1,0,0,0,0,0,0,77,23,1,0,0,0,5,0,0,0.220779221,0.0,4,15.75,19.0,14.66666667,0,phishing
1,0,0,0,1,0,0,0,126,50,4,1,1,0,5,0,0,0.150793651,0.0,2,8.25,8.4,8.142857143,0,phishing
0,1,0,0,0,0,0,0,18,11,2,0,0,0,2,0,0,0.0,0.0,0,5.0,5.0,0.0,0,legitimate
0,1,0,0,0,0,0,0,55,15,2,2,0,0,5,1,0,0.0,0.0,3,6.333333333,5.0,7.0,0,legitimate
0,1,0,0,1,0,0,0,32,24,3,1,0,0,3,0,0,0.0,0.0,3,4.5,4.5,0.0,0,phishing
0,1,0,0,0,0,0,0,19,12,2,0,0,0,2,1,0,0.0,0.0,3,4.0,4.0,0.0,0,legitimate
1,1,0,0,0,0,0,0,81,27,2,0,0,0,5,1,0,0.259259259,0.0,8,13.2,11.0,14.66666667,0,phishing
0,1,0,0,0,1,0,0,42,34,2,0,0,0,3,0,0,0.0,0.0,0,14.5,14.5,0.0,0,legitimate
0,0,0,0,0,0,0,0,104,10,1,10,0,0,6,0,0,0.076923077,0.0,0,5.571428571,6.0,5.538461538,1,legitimate
0,0,0,0,0,0,0,0,56,22,3,0,0,0,4,1,0,0.0,0.0,3,6.666666667,9.0,5.5,0,legitimate
0,0,0,0,0,0,0,0,43,16,2,3,0,0,3,1,0,0.186046512,0.0,3,4.333333333,5.5,3.75,0,legitimate
0,0,0,0,0,0,0,0,83,14,1,9,0,0,4,0,0,0.012048193,0.0,2,5.454545455,10.0,5.0,0,legitimate
