ip,https_token,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,prefix_suffix,shortening_service,domain_in_brand,brand_in_subdomain,brand_in_path,suspicious_tld,statistical_report,length_url,nb_dots,nb_hyphens,nb_qm,nb_and,nb_eq,nb_www,ratio_digits_url,char_repeat,shortest_word_host,longest_words_raw,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,status
0,1,0,0,0,0,0,1,0,0,0,0,0,0,77,2,2,0,0,0,1,0.0,3,3,10,9,6.333333333,6.5,6.285714286,5,phishing
0,1,0,0,1,0,0,0,1,0,0,0,0,0,112,2,10,0,0,0,0,0.0,0,10,16,11,6.285714286,13.0,5.166666667,0,legitimate
1,1,0,0,0,0,0,1,0,0,0,0,0,0,102,1,1,0,0,0,0,0.196078431,8,11,32,32,9.222222222,11.0,9.0,3,phishing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0,0.047619048,3,5,15,14,9.0,10.0,8.6,1,phishing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,2,0,0,0,0,0.083333333,0,6,11,0,8.0,8.0,0.0,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,2,155,3,2,0,0,0,1,0.0,3,3,28,28,11.16666667,9.0,11.6,1,legitimate
1,1,0,0,0,0,0,1,0,0,0,0,0,0,93,4,1,1,0,1,0,0.129032258,3,14,17,17,8.0,14.0,7.25,2,phishing
0,1,0,0,0,0,0,1,0,0,0,0,0,0,63,2,3,0,0,0,1,0.079365079,5,3,10,10,4.777777778,6.5,4.285714286,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,0,0,0.0,1,6,24,5,9.5,15.0,4.0,1,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0.133333333,2,4,13,0,8.5,8.5,0.0,0,phishing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,1,0.0,4,3,16,0,9.5,9.5,0.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,1,51,5,1,0,0,0,1,0.0,3,2,10,0,5.833333333,5.833333333,0.0,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0.0,3,3,9,0,6.0,6.0,0.0,0,legitimate
0,1,0,0,0,0,0,0,1,0,0,0,0,0,32,4,0,0,0,0,0,0.09375,1,1,7,0,4.25,4.25,0.0,0,phishing
0,1,0,0,1,0,0,1,1,0,0,0,0,0,103,2,1,0,0,0,0,0.116504854,4,9,11,11,7.363636364,9.5,6.888888889,0,legitimate
0,0,0,0,0,0,0,0,1,1,0,0,0,0,37,2,0,0,0,0,0,0.108108108,0,8,15,0,11.5,11.5,0.0,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,1,0.0,3,3,16,12,10.33333333,9.5,12.0,0,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,1,0.0,3,3,11,0,7.0,7.0,0.0,0,legitimate
0,1,0,0,0,0,0,1,0,0,0,0,0,0,91,2,1,0,0,0,0,0.087912088,3,7,15,13,9.125,10.0,8.6,0,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0.026315789,0,7,7,6,4.6,7.0,4.0,1,phishing
0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,1,0.0,3,3,12,0,7.5,7.5,0.0,0,legitimate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0.0,0,3,11,11,7.666666667,6.0,11.0,0,phishing
1,0,0,0,0,0,1,0,1,0,0,0,0,0,75,4,2,0,0,0,0,0.546666667,2,1,36,0,9.5,9.5,0.0,0,phishing
1,0,0,0,0,1,0,1,0,0,0,0,0,0,127,4,1,1,2,3,0,0.196850394,6,3,17,17,7.769230769,8.4,7.375,0,phishing
0,1,0,0,0,0,0,1,0,0,0,0,0,0,54,1,1,0,0,0,0,0.092592593,3,10,10,7,6.166666667,10.0,5.4,0,legitimate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0.0,0,4,4,0,4.0,4.0,0.0,0,legitimate
